id,lot_number,artist_id,image,art_title,size_mat,estimate_low,estimate_high,realized,sale_id
17,Lot 20,607,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02847_0020_000(francis_bacon_three_studies_for_a_portrait_of_john_edwards).jpg?mode=max&down.speed=-1&Width=77,Three Studies for a Portrait of John Edwards,"oil on canvas, in three parts
each: 78 1/8 x 58¼ in. (198.3 x 148 cm.)",0,0,80805000,57
18,Lot 35 B,258,https://www.christies.com/img/lotimages//2015/NYR/2015_NYR_03740_0035B_000(mark_rothko_no_10).jpg?mode=max&down.speed=-1&Width=77,No. 10,"oil on canvas
94 1/4 x 69 1/4 in. (239.4 x 175.9 cm.)",45000000,55000000,81925000,58
20,Lot 34,603,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02847_0034_000(barnett_newman_black_fire_i).jpg?mode=max&down.speed=-1&Width=77,Black Fire I,"oil on canvas
114 x 84 in. (289.5 x 213.3 cm.)",0,0,84165000,57
21,Lot 20,258,https://www.christies.com/img/lotimages//2012/NYR/2012_NYR_02557_0020_000(mark_rothko_orange_red_yellow).jpg?mode=max&down.speed=-1&Width=77,"Orange, Red, Yellow","oil on canvas
93 x 81¼ in. (236.2 x 206.4 cm.)",35000000,45000000,86882500,55
14,Lot 10,97,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02891_0010_000(andy_warhol_four_marlons).jpg?mode=max&down.speed=-1&Width=77,Four Marlons,"silkscreen ink on unprimed linen
81 x 65 in. (205.7 x 165.1 cm.)",0,0,69605000,81
19,Lot 9,97,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02891_0009_000(andy_warhol_triple_elvis_ferus_type).jpg?mode=max&down.speed=-1&Width=77,Triple Elvis [Ferus Type],"silkscreen ink and silver paint on linen
82 x 69 in. (208.3 x 175.3 cm.)",0,0,81925000,81
12,Lot 31,258,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02847_0031_000(mark_rothko_untitled).jpg?mode=max&down.speed=-1&Width=77,Untitled,"oil on canvas
103 x 62½ in. (261.6 x 158.7 cm.)",0,0,66245000,57
13,Lot 8 A,355,https://www.christies.com/img/lotimages//2016/NYR/2016_NYR_12156_0008A_000(willem_de_kooning_untitled_xxv).jpg?mode=max&down.speed=-1&Width=77,Untitled XXV,"oil on canvas
77 x 88 in. (195.7 x 223.5 cm.)",40000000,50000000,66327500,78
15,Lot 20,425,https://www.christies.com/img/lotimages//2014/NYR/2014_NYR_02891_0020_000(cy_twombly_untitled).jpg?mode=max&down.speed=-1&Width=77,Untitled,"oil based house paint and wax crayon on canvas
61 1/4 x 74 3/4 in. (155.5 x 190 cm.)",35000000,55000000,69605000,81
16,Lot 15,97,https://www.christies.com/img/lotimages//2007/NYR/2007_NYR_01834_0015_000().jpg?mode=max&down.speed=-1&Width=77,Green Car Crash (Green Burning Car I),"synthetic polymer, silkscreen ink and acrylic on linen
90 x 80 in. (228.6 x 203.2 cm.)",25000000,35000000,71720000,16
